album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
SAVAGE MODE II,album,75,"['21 Savage', 'Metro Boomin']",1,195906,True,5SWnsxjhdcEDc7LJjq9UHk,Runnin,77,2,2020-10-02,[],790804639.0
Christmas Without You,single,55,['Ava Max'],1,169245,False,1QLZKzC2pjP4ySf4ALrNhm,Christmas Without You,65,1,2020-10-15,[],169530906.0
Lovefool,single,56,['twocolors'],1,190487,False,51Of5p3lKZeOg6itfs4og4,Lovefool,66,1,2020-05-08,[],386137835.0
Abyss,single,53,['Jin'],1,155108,False,40BomFCBuJok3OjxM9oG7e,Abyss,63,1,2020-12-03,['k-pop'],99000069.0
BEST INTEREST,single,65,"['Tyler, The Creator']",1,127921,True,3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,76,1,2020-01-25,[],686106855.0
Brightest Blue,album,64,"['Ellie Goulding', 'Juice WRLD']",2,188066,False,15og0pCEcTFWEXOFKdcJlU,Hate Me,73,5,2020-07-16,"['emo rap', 'melodic rap']",850567989.0
B4 The Storm,album,64,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",1,195428,True,1p0rEzrK7YtdRZVtiyV7RN,Lemonade (feat. NAV),74,17,2020-08-28,['melodic rap'],1428076992.0
~how i'm feeling~,album,70,"['Lauv', 'Troye Sivan']",1,162586,False,7LpMG3AEaIJgs62HQhAa91,i'm so tired...,68,14,2020-03-06,[],921468650.0
Baby Sleep Music,album,75,['Lullaby Time'],1,135341,False,4hhwyBxns9O6XIDQzL7bvF,Peaceful Sleep,67,2,2020-06-19,['lullaby'],92263823.0
Certified Hitmaker,album,60,['Lil Mosey'],1,162546,True,22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,70,1,2020-02-06,['melodic rap'],1383291006.0
Heaven Or Hell,album,74,['Don Toliver'],1,158708,False,0Li1OuXXfi7950ilZUFGkF,Cardigan,73,3,2020-03-13,[],355976238.0
folklore,album,82,['Taylor Swift'],1,210251,True,0Jlcvv8IykzHaSmj49uNW8,the 1,71,1,2020-07-24,[],651370413.0
Blue Jeans,single,57,['GANGGA'],1,211483,False,4kfjA6WfgKBt7I7YKuDCkU,Blue Jeans,67,1,2020-06-05,[],285554715.0
The Night in Question: French Exit Outtakes,album,65,['TV Girl'],1,152000,False,4NUhcsz9E1LrBe8nXLZqzp,It Almost Worked,74,4,2020-05-01,[],156590669.0
minor,single,74,['Gracie Abrams'],1,185172,False,5meVa5klVlJalupZTvv5XX,21,72,2,2020-07-14,[],184416462.0
Welcome to O'Block,album,72,['King Von'],1,122680,True,2297mxrYLBAC4XkhXs39If,Armed & Dangerous,75,1,2020-10-30,['drill'],182299327.0
SAVAGE MODE II,album,75,"['21 Savage', 'Metro Boomin', 'Young Thug']",1,190331,True,3ruoIF2UnoXdzK8mR61ebq,Rich Nigga Shit (feat. Young Thug),73,5,2020-10-02,"['trap', 'rap', 'melodic rap']",505781762.0
